课程名称：     C++计算机程序设计
课程编号：     010502T10
开课单位：     测绘与遥感科学系
授课教师：     潘林
选课人数：     30
最高分为：94.575
最低分为：94.575
平均分为：82.2825
优秀率为：0.666667
及格率为：1
0~9人数：0
10~19人数：0
20~29人数：0
30~39人数：0
40~49人数：0
50~59人数：0
60~69人数：1
70~79人数：5
80~89人数：14
90~100人数：5
学号                 姓名                 性别                 班级名称             平时成绩（作业）      平时成绩（实验）      平时成绩（报告）      考试成绩             最终成绩
307170101            蹉仲舒              男                   地信1701             92.5                 95                   92.5            94.5                94.6
107170109            姚寻巧              女                   遥感1701             85                   94                   85              93.5                94.4
307170104            淳于双玉            女                   地信1701             95                   95                   95              93.5                93.1
207170102            沃彤雯              女                   测绘1701             90                   94                   90              92.5                92.6
207170104            秦乐安              男                   测绘1701             87.5                 91                   87.5            91.5                91.9
107170110            北承教              男                   遥感1701             85                   97.5                 85              85                  89.9
107170107            次凡白              男                   遥感1701             97.5                 85                   97.5            88.5                87.7
207170109            斐秋莲              女                   测绘1701             82.5                 87.5                 82.5            86.5                86.8
107170104            董秋翠              女                   遥感1701             85                   85                   85              85.5                85.9
107170101            张代珊              女                   遥感1701             95                   100                  95              77.5                85.2
307170108            召华采              男                   地信1701             89                   88                   89              85.5                85.2
107170103            星菱                女                   遥感1701             80                   87.5                 80              85                  85.1
306170105            缪雪兰              女                   地信1701             92                   90                   92              80.5                84.6
107170106            纳喇晨风            男                   遥感1701             80                   95                   80              85.5                84.1
207170101            蒋龙                男                   测绘1701             90                   90                   90              80                  84
207170107            陀冬莲              女                   测绘1701             85                   81.5                 85              83.5                83.6
207170108            第平良              男                   测绘1701             80                   95                   80              78.5                82.3
307170102            丙尔阳              男                   地信1701             95                   92.5                 95              73.5                81.7
207170103            东方沙              女                   测绘1701             85                   94                   85              72                  80.6
307170110            云宏义              男                   地信1701             70                   85                   70              83.5                80.4
207170110            况康胜              男                   测绘1701             95                   90                   95              71.5                79.7
207170105            禹高超              男                   测绘1701             87.5                 90                   87.5            70.5                79.2
307170109            司寇静珊            女                   地信1701             81.5                 83.5                 81.5            72.5                77.1
107170102            潜玮程              男                   遥感1701             70                   82.5                 70              76.5                75.8
107170108            完清婉              女                   遥感1701             92.5                 95                   92.5            55.5                72.2
307170107            锐白卉              女                   地信1701             83                   82.5                 83              65                  71.9
307150106            前乐家              男                   地信1701             73                   87.5                 73              66.5                71.7
107170105            檀迈                男                   遥感1701             82.5                 82.5                 82.5            61.5                69.4
207170106            柔卓                男                   测绘1701             95                   95                   95              53.5                69.1
307170103            香阳舒              女                   地信1701             90                   82.5                 90              56.5                68.8
