课程名称：     C++计算机程序设计
课程编号：     010502T10
开课单位：     测绘与遥感科学系
授课教师：     潘林
选课人数：     30
**********************************************************************成绩列表************************************************************************
学号                 姓名                 性别                 班级名称             平时成绩（作业）      平时成绩（实验）      平时成绩（报告）      考试成绩             
107170101            张代珊              男                   遥感1701             95                   100                  95              77.5                
107170102            潜玮程              男                   遥感1701             70                   82.5                 70              76.5                
107170103            星菱                女                   遥感1701             80                   87.5                 80              85                  
107170104            董秋翠              女                   遥感1701             85                   85                   85              85.5                
107170105            檀迈                男                   遥感1701             82.5                 82.5                 82.5            61.5                
107170106            纳喇晨风            男                   遥感1701             80                   95                   80              85.5                
107170107            次凡白              男                   遥感1701             97.5                 85                   97.5            88.5                
107170108            完清婉              女                   遥感1701             92.5                 95                   92.5            55.5                
107170109            姚寻巧              女                   遥感1701             85                   94                   85              93.5                
107170110            北承教              男                   遥感1701             85                   97.5                 85              85                  
207170101            蒋龙                男                   测绘1701             90                   90                   90              80                  
207170102            沃彤雯              女                   测绘1701             90                   94                   90              92.5                
207170103            东方沙              女                   测绘1701             85                   94                   85              72                  
207170104            秦乐安              男                   测绘1701             87.5                 91                   87.5            91.5                
207170105            禹高超              男                   测绘1701             87.5                 90                   87.5            70.5                
207170106            柔卓                男                   测绘1701             95                   95                   95              53.5                
207170107            陀冬莲              女                   测绘1701             85                   81.5                 85              83.5                
207170108            第平良              男                   测绘1701             80                   95                   80              78.5                
207170109            斐秋莲              女                   测绘1701             82.5                 87.5                 82.5            86.5                
207170110            况康胜              男                   测绘1701             95                   90                   95              71.5                
307170101            蹉仲舒              男                   地信1701             92.5                 95                   92.5            94.5                
307170102            丙尔阳              男                   地信1701             95                   92.5                 95              73.5                
307170103            香阳舒              女                   地信1701             90                   82.5                 90              56.5                
307170104            淳于双玉            女                   地信1701             95                   95                   95              93.5                
306170105            缪雪兰              女                   地信1701             92                   90                   92              80.5                
307150106            前乐家              男                   地信1701             73                   87.5                 73              66.5                
307170107            锐白卉              女                   地信1701             83                   82.5                 83              65                  
307170108            召华采              男                   地信1701             89                   88                   89              85.5                
307170109            司寇静珊            女                   地信1701             81.5                 83.5                 81.5            72.5                
307170110            云宏义              男                   地信1701             70                   85                   70              83.5                
